recordTime,speed,lane
2016-09-08 15:00:00.000,60,1
2016-09-08 15:00:00.000,-1,2
2016-09-08 15:00:00.000,63,3
2016-09-08 15:00:20.000,70,1
2016-09-08 15:00:20.000,-1,2
2016-09-08 15:00:20.000,0,3
2016-09-08 15:00:40.000,0,1
2016-09-08 15:00:40.000,-1,2
2016-09-08 15:00:40.000,0,3
2016-09-08 15:01:00.000,70,1
2016-09-08 15:01:00.000,-1,2
2016-09-08 15:01:00.000,0,3
2016-09-08 15:01:20.000,66,1
2016-09-08 15:01:20.000,-1,2
2016-09-08 15:01:20.000,66,3
2016-09-08 15:01:40.000,66,1
2016-09-08 15:01:40.000,16,2
2016-09-08 15:01:40.000,69,3
2016-09-08 15:02:00.000,0,1
2016-09-08 15:02:00.000,-1,2
2016-09-08 15:02:00.000,67,3
2016-09-08 15:02:20.000,61,1
2016-09-08 15:02:20.000,-1,2
2016-09-08 15:02:20.000,64,3
2016-09-08 15:02:40.000,0,1
2016-09-08 15:02:40.000,-1,2
2016-09-08 15:02:40.000,62,3
2016-09-08 15:03:00.000,0,1
2016-09-08 15:03:00.000,-1,2
2016-09-08 15:03:00.000,70,3
2016-09-08 15:03:20.000,72,1
2016-09-08 15:03:20.000,-1,2
2016-09-08 15:03:20.000,65,3
2016-09-08 15:03:40.000,61,1
2016-09-08 15:03:40.000,-1,2
2016-09-08 15:03:40.000,66,3
2016-09-08 15:04:00.000,76,1
2016-09-08 15:04:00.000,-1,2
2016-09-08 15:04:00.000,61,3
2016-09-08 15:04:20.000,58,1
2016-09-08 15:04:20.000,0,2
2016-09-08 15:04:20.000,65,3
2016-09-08 15:04:40.000,0,1
2016-09-08 15:04:40.000,1,2
2016-09-08 15:04:40.000,63,3
2016-09-08 15:05:00.000,0,1
2016-09-08 15:05:00.000,0,2
2016-09-08 15:05:00.000,0,3
2016-09-08 15:05:20.000,0,1
2016-09-08 15:05:20.000,-1,2
2016-09-08 15:05:20.000,62,3
2016-09-08 15:05:40.000,53,1
2016-09-08 15:05:40.000,0,2
2016-09-08 15:05:40.000,62,3
2016-09-08 15:06:00.000,52,1
2016-09-08 15:06:00.000,-1,2
2016-09-08 15:06:00.000,64,3
2016-09-08 15:06:20.000,59,1
2016-09-08 15:06:20.000,-1,2
2016-09-08 15:06:20.000,68,3
2016-09-08 15:06:40.000,58,1
2016-09-08 15:06:40.000,-1,2
2016-09-08 15:06:40.000,0,3
2016-09-08 15:07:00.000,62,1
2016-09-08 15:07:00.000,-1,2
2016-09-08 15:07:00.000,61,3
2016-09-08 15:07:20.000,78,1
2016-09-08 15:07:20.000,-1,2
2016-09-08 15:07:20.000,63,3
2016-09-08 15:07:40.000,72,1
2016-09-08 15:07:40.000,-1,2
2016-09-08 15:07:40.000,74,3
2016-09-08 15:08:00.000,98,1
