speed,occupancy
0,0
0,-100
0,0
0,0
0,-100
72,1
0,0
0,-85
0,0
67,1
-1,52
0,0
0,0
-1,100
0,0
0,0
0,-85
80,1
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
72,1
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
57,2
0,-100
0,0
0,0
-1,43
0,0
0,0
0,-100
73,1
0,0
0,-100
64,1
0,0
0,-85
0,0
0,0
0,-50
66,3
0,0
-1,100
0,0
0,0
0,-85
0,0
0,0
0,-100
65,1
0,0
-1,58
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
69,1
0,0
0,-85
0,0
0,0
0,-100
63,2
60,1
0,-100
0,0
63,1
-1,43
0,0
65,3
-1,50
65,1
0,0
-1,58
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
64,1
0,-100
0,0
70,1
0,-85
0,0
69,1
0,-100
0,0
0,0
-1,58
0,0
0,0
0,-85
0,0
0,0
-1,50
0,0
0,0
0,-100
0,0
0,0
-1,43
0,0
0,0
-1,51
0,0
0,0
0,-100
0,0
0,0
0,-85
74,1
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
-1,43
0,0
0,0
-1,50
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
-1,50
74,1
0,0
0,-100
0,0
65,1
0,-85
0,0
0,0
0,-100
71,1
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
-1,58
63,2
0,0
-1,43
59,3
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
-1,50
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
85,1
0,0
0,-100
0,0
0,0
0,-100
0,0
56,2
0,-85
0,0
0,0
-1,51
61,1
0,0
0,-100
0,0
67,1
0,-85
0,0
68,1
0,-100
0,0
0,0
0,-100
0,0
0,0
-1,43
71,1
0,0
-1,51
0,0
0,-8
-1,59
0,0
63,-1
0,-85
71,1
0,0
0,-100
0,0
0,0
-1,58
0,0
0,0
0,-85
0,0
0,0
-1,50
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
-1,58
0,0
0,0
0,-85
0,0
0,0
0,-100
65,2
0,0
-1,58
0,0
0,0
0,-85
0,0
0,0
0,-100
87,1
0,0
-1,58
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-43
0,0
0,0
-1,50
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
-1,50
61,1
0,0
-1,58
0,0
0,0
-1,43
0,0
0,0
0,-100
0,0
0,0
-1,58
0,0
0,0
0,-85
0,0
0,0
-1,52
0,0
0,0
0,-100
0,0
0,0
-1,43
0,0
0,0
-1,50
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
-1,50
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
74,1
0,0
0,-43
0,0
0,0
-1,100
63,2
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
-1,50
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
-1,43
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
62,1
-1,58
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
101,1
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
-1,43
0,0
0,0
-1,50
0,0
57,1
0,-100
0,0
0,0
-1,43
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
-1,43
0,0
0,0
0,-100
65,1
0,0
0,-100
70,1
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
-1,58
65,1
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
67,2
-1,58
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
-1,44
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
62,1
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
59,1
0,-100
60,1
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
59,1
0,-100
0,0
0,0
0,-100
83,1
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
-1,43
62,3
0,0
0,-100
62,0
0,0
0,-100
0,0
0,0
0,-43
0,0
0,0
-1,100
0,0
0,0
0,-100
0,0
0,0
-1,43
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
70,1
0,0
0,-85
0,0
0,0
0,-100
0,0
57,3
0,-100
62,2
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
56,2
0,0
-1,43
62,2
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
-1,43
68,2
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
-1,58
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-65
61,2
0,0
-1,85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
-1,51
0,0
0,0
0,-100
0,0
66,1
0,-85
0,0
0,0
0,-100
68,1
0,0
0,-100
0,0
0,0
0,-85
0,0
71,1
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
-1,51
0,0
0,0
-1,58
0,0
0,0
-1,43
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
0,0
0,0
0,-100
0,0
0,0
0,-100
0,0
0,0
0,-85
