vdsId,correct,incorrect
1003,904438,261845
1004,777522,388761
1007,1405465,108467
1008,1333104,180828
1009,1030176,134478
1010,1159854,4800
1011,1053668,67930
1012,1111495,10103
1013,628049,134737
1015,647283,123003
1016,1392830,131374
1017,1014256,128897
1018,1060990,104933
1019,1163415,2508
1020,1134671,7798
1021,1138692,3777
1022,986650,175349
1024,1160842,4343
1025,1161004,4181
1026,1161615,3831
1027,1163062,2384
1028,1406409,147123
1029,1137601,27548
1030,1549365,5475
1031,1332820,222020
1032,1039990,126068
1033,1163568,2490
1034,1326121,225611
1035,1421712,130020
1036,1058972,106339
1037,1162286,3025
1038,385960,2360
1039,387721,599
1040,387383,1165
1041,387205,1475
1042,762418,14342
1043,645789,130809
1044,388647,0
1045,386347,2219
1046,387235,1214
