datetime,occupancy
2016-09-02,30
2016-09-03,26
2016-09-04,26
2016-09-05,26
2016-09-19,28
2016-09-20,29
2016-09-21,29
2016-09-22,31
2017-01-14,25
2017-01-15,25
2017-01-16,26
2017-01-17,27
2017-01-31,27
2016-09-01,28
2016-09-06,28
2016-09-08,29
2016-09-15,34
2016-09-17,30
2016-09-24,31
2016-09-26,29
2017-01-02,24
2017-01-04,27
2017-01-11,27
2017-01-13,27
2017-01-18,31
2017-01-20,27
2017-01-27,27
2017-01-29,25
2016-09-07,28
2016-09-09,28
2016-09-16,29
2016-09-18,27
2016-09-23,29
2016-09-25,26
2017-01-01,25
2017-01-03,26
2017-01-10,27
2017-01-12,27
2017-01-19,27
2017-01-21,25
2017-01-26,27
2017-01-28,26
2017-01-30,27
2016-09-10,27
2016-09-11,26
2016-09-12,28
2016-09-13,28
2016-09-14,29
2016-09-27,28
2016-09-28,29
2016-09-29,28
2016-09-30,29
2017-01-05,26
2017-01-06,26
2017-01-07,25
2017-01-08,24
2017-01-09,27
2017-01-22,25
2017-01-23,27
2017-01-24,27
2017-01-25,27

