Lat,Long,Name,Speed,ID
53.561043,-113.444232,Wayne Gretzky Dr North End Bridge SB,80,1001
53.561043,-113.444232,Wayne Gretzky Dr North End Bridge NB,80,1002
53.553828,-113.437872,Wayne Gretzky Dr South End Bridge SB,80,1003
53.553879,-113.439074,Wayne Gretzky Dr South End Bridge NB,80,1004
53.512070,-113.605242,Whitemud Dr - 164 St WB,80,1007
53.511789,-113.605199,Whitemud Dr - 164 St EB,80,1008
53.512183,-113.629854,Whitemud Dr - 178 St WB,80,1009
53.511928,-113.629811,Whitemud Dr - 178 St EB,80,1010
53.535718,-113.488466,James MacDonald Bridge - 101 St WB,60,1011
53.535489,-113.488233,James MacDonald Bridge - 101 St EB,60,1012
53.530798,-113.485730,94 Ave - Scona Rd NB,50,1013
53.524826,-113.499049,Queen Eliz. Park Rd - N of Sask. Dr NB,50,1014
53.525111,-113.501150,Queen Eliz. Park Rd - Queen. Eliz. Pool NB,50,1015
53.512196,-113.590500,Whitemud Dr - 156 St WB,80,1016
53.511864,-113.590393,Whitemud Dr - 156 St EB,80,1017
53.483069,-113.541126,Whitemud Dr - 122 St WB,80,1018
53.482737,-113.541083,Whitemud Dr - 122 St EB,80,1019
53.581498,-113.501387,Yellowhead Tr - 62 St WB,70,1020
53.581336,-113.501172,Yellowhead Tr - 62 St EB,70,1021
53.580546,-113.525548,Yellowhead Tr - 121 St WB,70,1022
53.580890,-113.551276,Yellowhead Tr - 131 St EB,70,1023
53.576227,-113.602667,Yellowhead Tr - 163 St WB,70,1024
53.577514,-113.604040,Yellowhead Tr - 163 St EB,70,1025
53.457370,-113.590052,Whitemud Dr - Terwillegar Dr (E. Of) WB,80,1026
53.458110,-113.589771,Whitemud Dr - Terwillegar Dr (E. Of) EB,80,1027
53.479908,-113.492168,53 Ave - Whitemud Dr WB,80,1028
53.480603,-113.491988,53 Ave - Whitemud Dr EB,80,1029
53.495681,-113.571661,58A Ave - Whitemud Dr WB,80,1030
53.495758,-113.572240,58A Ave - Whitemud Dr EB,80,1031
53.511481,-113.573077,Whitemud Dr - Quesnell Br WB,80,1032
53.511264,-113.572884,Whitemud Dr - Quesnell Br EB,80,1033
53.512452,-113.582110,Whitemud Dr - 149 St (E. Of) WB,80,1034
53.512044,-113.581853,Whitemud Dr - 149 St (E. Of) EB,80,1035
53.512044,-113.575974,Whitemud Dr - 149 St (WB),80,1036
53.511125,-113.575802,Whitemud Dr - 149 St (EB),80,1037
53.483503,-113.518167,53 Ave - Whitemud Dr Offramp WB,60,1038
53.481316,-113.568764,Terwillegar Dr - Whitemud Dr On Ramp WB,70,1039
53.490406,-113.573570,53 Ave (N. Of) - Whitemud Dr On Ramp WB,50,1040
53.502905,-113.564816,Whitemud Dr - Fox Dr Off Ramp WB,50,1041
53.503773,-113.564773,Whitemud Dr - Fox Dr On Ramp WB,50,1042
53.512987,-113.578248,Whitemud Dr - 149 St Off Ramp WB,60,1043
53.513267,-113.579450,Whitemud Dr - 149 St On Ramp WB,60,1044
53.511430,-113.597775,Whitemud Dr - 159 St Off Ramp WB,60,1045
53.512412,-113.598268,Whitemud Dr - 159 St On Ramp WB,50,1046
